Name	CMP	P/E	Market Cap	Div Yield %	NP Qtr	Qtr Profit %	Sales Qtr	Qtr Sales %	ROCE %	PAT Ann
Tata Motors	-6224.893954	292.4326804	-6169928.318	-0.867355582	-90715.45136	89.50627755	-671209.2087	32.45082305	-64.6365503	-281849.9087
NTPC	-6246.743866	293.062995	-6186652.255	-0.872584874	-90957.6823	89.67462857	-673010.6398	32.49493109	-64.85237983	-282607.6436
ONGC	-6268.593777	293.6933095	-6203376.193	-0.877814166	-91199.91323	89.84297959	-674812.0708	32.53903914	-65.06820936	-283365.3785
Kotak Mahindra Bank	-6290.443688	294.323624	-6220100.131	-0.883043457	-91442.14417	90.01133061	-676613.5019	32.58314718	-65.2840389	-284123.1134
Avenue Supermarts	-6312.293599	294.9539385	-6236824.068	-0.888272749	-91684.37511	90.17968163	-678414.9329	32.62725522	-65.49986843	-284880.8483
UltraTech Cement	-6334.14351	295.5842531	-6253548.006	-0.893502041	-91926.60605	90.34803265	-680216.364	32.67136327	-65.71569796	-285638.5832
Titan Company	-6355.993421	296.2145676	-6270271.944	-0.898731333	-92168.83699	90.51638367	-682017.7951	32.71547131	-65.93152749	-286396.3181
Adani Ports	-6377.843333	296.8448821	-6286995.881	-0.903960624	-92411.06793	90.68473469	-683819.2261	32.75957935	-66.14735702	-287154.0531
Power Grid Corporation	-6399.693244	297.4751966	-6303719.819	-0.909189916	-92653.29886	90.85308571	-685620.6572	32.80368739	-66.36318655	-287911.788
Coal India	-6421.543155	298.1055112	-6320443.757	-0.914419208	-92895.5298	91.02143673	-687422.0882	32.84779544	-66.57901609	-288669.5229
Tata Steel	-6443.393066	298.7358257	-6337167.694	-0.919648499	-93137.76074	91.18978776	-689223.5193	32.89190348	-66.79484562	-289427.2578
JSW Steel	-6465.242977	299.3661402	-6353891.632	-0.924877791	-93379.99168	91.35813878	-691024.9504	32.93601152	-67.01067515	-290184.9927
HDFC Life Insurance	-6487.092888	299.9964547	-6370615.57	-0.930107083	-93622.22262	91.5264898	-692826.3814	32.98011957	-67.22650468	-290942.7276
Tech Mahindra	-6508.9428	300.6267693	-6387339.507	-0.935336375	-93864.45356	91.69484082	-694627.8125	33.02422761	-67.44233421	-291700.4626
SBI Life Insurance	-6530.792711	301.2570838	-6404063.445	-0.940565666	-94106.68449	91.86319184	-696429.2435	33.06833565	-67.65816375	-292458.1975
Grasim Industries	-6552.642622	301.8873983	-6420787.383	-0.945794958	-94348.91543	92.03154286	-698230.6746	33.1124437	-67.87399328	-293215.9324
Wipro	-6574.492533	302.5177128	-6437511.32	-0.95102425	-94591.14637	92.19989388	-700032.1056	33.15655174	-68.08982281	-293973.6673
Divi's Laboratories	-6596.342444	303.1480274	-6454235.258	-0.956253541	-94833.37731	92.3682449	-701833.5367	33.20065978	-68.30565234	-294731.4022
Hero MotoCorp	-6618.192355	303.7783419	-6470959.196	-0.961482833	-95075.60825	92.53659592	-703634.9678	33.24476783	-68.52148187	-295489.1371
Cipla	-6640.042267	304.4086564	-6487683.133	-0.966712125	-95317.83919	92.70494694	-705436.3988	33.28887587	-68.7373114	-296246.8721
Britannia Industries	-6661.892178	305.0389709	-6504407.071	-0.971941417	-95560.07012	92.87329796	-707237.8299	33.33298391	-68.95314094	-297004.607
Dabur India	-6683.742089	305.6692855	-6521131.009	-0.977170708	-95802.30106	93.04164898	-709039.2609	33.37709196	-69.16897047	-297762.3419
Adani Green Energy	-6705.592	306.2996	-6537854.946	-0.9824	-96044.532	93.21	-710840.692	33.4212	-69.3848	-298520.0768
SBI Cards & Payment	-6727.441911	306.9299145	-6554578.884	-0.987629292	-96286.76294	93.37835102	-712642.1231	33.46530804	-69.60062953	-299277.8117
Bajaj Finserv	-6749.291822	307.5602291	-6571302.822	-0.992858583	-96528.99388	93.54670204	-714443.5541	33.50941609	-69.81645906	-300035.5466
Ambuja Cements	-6771.141733	308.1905436	-6588026.759	-0.998087875	-96771.22481	93.71505306	-716244.9852	33.55352413	-70.0322886	-300793.2815
Dr. Reddy's Lab	-6792.991645	308.8208581	-6604750.697	-1.003317167	-97013.45575	93.88340408	-718046.4162	33.59763217	-70.24811813	-301551.0165
Vedanta	-6814.841556	309.4511726	-6621474.635	-1.008546459	-97255.68669	94.0517551	-719847.8473	33.64174022	-70.46394766	-302308.7514
Apollo Hospitals	-6836.691467	310.0814872	-6638198.572	-1.01377575	-97497.91763	94.22010612	-721649.2784	33.68584826	-70.67977719	-303066.4863
Bank of Baroda	-6858.541378	310.7118017	-6654922.51	-1.019005042	-97740.14857	94.38845714	-723450.7094	33.7299563	-70.89560672	-303824.2212
Eicher Motors	-6880.391289	311.3421162	-6671646.448	-1.024234334	-97982.37951	94.55680816	-725252.1405	33.77406435	-71.11143625	-304581.9561
Name	CMP	P/E	Market Cap	Div Yield %	NP Qtr	Qtr Profit %	Sales Qtr	Qtr Sales %	ROCE %	PAT Ann
Reliance Industries	-6902.2412	311.9724307	-6688370.385	-1.029463625	-98224.61044	94.72515918	-727053.5715	33.81817239	-71.32726579	-305339.691
TCS	-6924.091112	312.6027453	-6705094.323	-1.034692917	-98466.84138	94.8935102	-728855.0026	33.86228043	-71.54309532	-306097.426
HDFC Bank	-6945.941023	313.2330598	-6721818.261	-1.039922209	-98709.07232	95.06186122	-730656.4336	33.90638848	-71.75892485	-306855.1609
Bharti Airtel	-6967.790934	313.8633743	-6738542.198	-1.045151501	-98951.30326	95.23021224	-732457.8647	33.95049652	-71.97475438	-307612.8958
ICICI Bank	-6989.640845	314.4936888	-6755266.136	-1.050380792	-99193.5342	95.39856327	-734259.2958	33.99460456	-72.19058391	-308370.6307
St Bk of India	-7011.490756	315.1240034	-6771990.074	-1.055610084	-99435.76514	95.56691429	-736060.7268	34.03871261	-72.40641345	-309128.3656
Life Insurance	-7033.340667	315.7543179	-6788714.011	-1.060839376	-99677.99607	95.73526531	-737862.1579	34.08282065	-72.62224298	-309886.1005
Infosys	-7055.190579	316.3846324	-6805437.949	-1.066068667	-99920.22701	95.90361633	-739663.5889	34.12692869	-72.83807251	-310643.8355
Hind. Unilever	-7077.04049	317.0149469	-6822161.887	-1.071297959	-100162.458	96.07196735	-741465.02	34.17103673	-73.05390204	-311401.5704
ITC	-7098.890401	317.6452615	-6838885.824	-1.076527251	-100404.6889	96.24031837	-743266.4511	34.21514478	-73.26973157	-312159.3053
Larsen & Toubro	-7120.740312	318.275576	-6855609.762	-1.081756543	-100646.9198	96.40866939	-745067.8821	34.25925282	-73.4855611	-312917.0402
Bajaj Finance	-7142.590223	318.9058905	-6872333.7	-1.086985834	-100889.1508	96.57702041	-746869.3132	34.30336086	-73.70139064	-313674.7751
Maruti Suzuki	-7164.440134	319.536205	-6889057.638	-1.092215126	-101131.3817	96.74537143	-748670.7442	34.34746891	-73.91722017	-314432.51
HCL Technologies	-7186.290046	320.1665196	-6905781.575	-1.097444418	-101373.6126	96.91372245	-750472.1753	34.39157695	-74.1330497	-315190.2449
Adani Enterprises	-7208.139957	320.7968341	-6922505.513	-1.102673709	-101615.8436	97.08207347	-752273.6063	34.43568499	-74.34887923	-315947.9799
Hindustan Aeronautics	-7229.989868	321.4271486	-6939229.451	-1.107903001	-101858.0745	97.25042449	-754075.0374	34.47979304	-74.56470876	-316705.7148
M & M	-7251.839779	322.0574631	-6955953.388	-1.113132293	-102100.3055	97.41877551	-755876.4685	34.52390108	-74.7805383	-317463.4497
Axis Bank	-7273.68969	322.6877777	-6972677.326	-1.118361585	-102342.5364	97.58712653	-757677.8995	34.56800912	-74.99636783	-318221.1846
Sun Pharma. Inds.	-7295.539601	323.3180922	-6989401.264	-1.123590876	-102584.7673	97.75547755	-759479.3306	34.61211717	-75.21219736	-318978.9195
Tata Motors	-7317.389513	323.9484067	-7006125.201	-1.128820168	-102826.9983	97.92382857	-761280.7616	34.65622521	-75.42802689	-319736.6544
NTPC	-7339.239424	324.5787212	-7022849.139	-1.13404946	-103069.2292	98.09217959	-763082.1927	34.70033325	-75.64385642	-320494.3894
ONGC	-7361.089335	325.2090358	-7039573.077	-1.139278752	-103311.4601	98.26053061	-764883.6238	34.7444413	-75.85968595	-321252.1243
Kotak Mahindra Bank	-7382.939246	325.8393503	-7056297.014	-1.144508043	-103553.6911	98.42888163	-766685.0548	34.78854934	-76.07551549	-322009.8592
Avenue Supermarts	-7404.789157	326.4696648	-7073020.952	-1.149737335	-103795.922	98.59723265	-768486.4859	34.83265738	-76.29134502	-322767.5941
UltraTech Cement	-7426.639068	327.0999794	-7089744.89	-1.154966627	-104038.153	98.76558367	-770287.9169	34.87676543	-76.50717455	-323525.329
Titan Company	-7448.48898	327.7302939	-7106468.827	-1.160195918	-104280.3839	98.93393469	-772089.348	34.92087347	-76.72300408	-324283.0639
Adani Ports	-7470.338891	328.3606084	-7123192.765	-1.16542521	-104522.6148	99.10228571	-773890.779	34.96498151	-76.93883361	-325040.7989
Power Grid Corporation	-7492.188802	328.9909229	-7139916.703	-1.170654502	-104764.8458	99.27063673	-775692.2101	35.00908956	-77.15466315	-325798.5338
Coal India	-7514.038713	329.6212375	-7156640.64	-1.175883794	-105007.0767	99.43898776	-777493.6412	35.0531976	-77.37049268	-326556.2687
Tata Steel	-7535.888624	330.251552	-7173364.578	-1.181113085	-105249.3077	99.60733878	-779295.0722	35.09730564	-77.58632221	-327314.0036
JSW Steel	-7557.738535	330.8818665	-7190088.516	-1.186342377	-105491.5386	99.7756898	-781096.5033	35.14141369	-77.80215174	-328071.7385
HDFC Life Insurance	-7579.588447	331.512181	-7206812.453	-1.191571669	-105733.7695	99.94404082	-782897.9343	35.18552173	-78.01798127	-328829.4734
Tech Mahindra	-7601.438358	332.1424956	-7223536.391	-1.19680096	-105976.0005	100.1123918	-784699.3654	35.22962977	-78.2338108	-329587.2083
SBI Life Insurance	-7623.288269	332.7728101	-7240260.329	-1.202030252	-106218.2314	100.2807429	-786500.7965	35.27373782	-78.44964034	-330344.9433
Grasim Industries	-7645.13818	333.4031246	-7256984.266	-1.207259544	-106460.4623	100.4490939	-788302.2275	35.31784586	-78.66546987	-331102.6782
Wipro	-7666.988091	334.0334391	-7273708.204	-1.212488836	-106702.6933	100.6174449	-790103.6586	35.3619539	-78.8812994	-331860.4131
Divi's Laboratories	-7688.838002	334.6637537	-7290432.142	-1.217718127	-106944.9242	100.7857959	-791905.0896	35.40606194	-79.09712893	-332618.148
Hero MotoCorp	-7710.687914	335.2940682	-7307156.079	-1.222947419	-107187.1552	100.9541469	-793706.5207	35.45016999	-79.31295846	-333375.8829
Cipla	-7732.537825	335.9243827	-7323880.017	-1.228176711	-107429.3861	101.122498	-795507.9517	35.49427803	-79.528788	-334133.6178
Britannia Industries	-7754.387736	336.5546972	-7340603.955	-1.233406002	-107671.617	101.290849	-797309.3828	35.53838607	-79.74461753	-334891.3528
Dabur India	-7776.237647	337.1850118	-7357327.892	-1.238635294	-107913.848	101.4592	-799110.8139	35.58249412	-79.96044706	-335649.0877
Adani Green Energy	-7798.087558	337.8153263	-7374051.83	-1.243864586	-108156.0789	101.627551	-800912.2449	35.62660216	-80.17627659	-336406.8226
SBI Cards & Payment	-7819.937469	338.4456408	-7390775.768	-1.249093878	-108398.3099	101.795902	-802713.676	35.6707102	-80.39210612	-337164.5575
Bajaj Finserv	-7841.787381	339.0759553	-7407499.705	-1.254323169	-108640.5408	101.9642531	-804515.107	35.71481825	-80.60793565	-337922.2924
Ambuja Cements	-7863.637292	339.7062699	-7424223.643	-1.259552461	-108882.7717	102.1326041	-806316.5381	35.75892629	-80.82376519	-338680.0273
Dr. Reddy's Lab	-7885.487203	340.3365844	-7440947.581	-1.264781753	-109125.0027	102.3009551	-808117.9692	35.80303433	-81.03959472	-339437.7622
Vedanta	-7907.337114	340.9668989	-7457671.518	-1.270011044	-109367.2336	102.4693061	-809919.4002	35.84714238	-81.25542425	-340195.4972
Apollo Hospitals	-7929.187025	341.5972134	-7474395.456	-1.275240336	-109609.4645	102.6376571	-811720.8313	35.89125042	-81.47125378	-340953.2321
Bank of Baroda	-7951.036936	342.227528	-7491119.394	-1.280469628	-109851.6955	102.8060082	-813522.2623	35.93535846	-81.68708331	-341710.967
Eicher Motors	-7972.886848	342.8578425	-7507843.331	-1.28569892	-110093.9264	102.9743592	-815323.6934	35.97946651	-81.90291285	-342468.7019
Name	CMP	P/E	Market Cap	Div Yield %	NP Qtr	Qtr Profit %	Sales Qtr	Qtr Sales %	ROCE %	PAT Ann
Reliance Industries	-7994.736759	343.488157	-7524567.269	-1.290928211	-110336.1574	103.1427102	-817125.1244	36.02357455	-82.11874238	-343226.4368
TCS	-8016.58667	344.1184715	-7541291.207	-1.296157503	-110578.3883	103.3110612	-818926.5555	36.06768259	-82.33457191	-343984.1717
HDFC Bank	-8038.436581	344.7487861	-7558015.144	-1.301386795	-110820.6192	103.4794122	-820727.9866	36.11179064	-82.55040144	-344741.9067
Bharti Airtel	-8060.286492	345.3791006	-7574739.082	-1.306616086	-111062.8502	103.6477633	-822529.4176	36.15589868	-82.76623097	-345499.6416
ICICI Bank	-8082.136403	346.0094151	-7591463.02	-1.311845378	-111305.0811	103.8161143	-824330.8487	36.20000672	-82.9820605	-346257.3765
St Bk of India	-8103.986315	346.6397297	-7608186.957	-1.31707467	-111547.3121	103.9844653	-826132.2797	36.24411477	-83.19789004	-347015.1114
Life Insurance	-8125.836226	347.2700442	-7624910.895	-1.322303962	-111789.543	104.1528163	-827933.7108	36.28822281	-83.41371957	-347772.8463
Infosys	-8147.686137	347.9003587	-7641634.833	-1.327533253	-112031.7739	104.3211673	-829735.1419	36.33233085	-83.6295491	-348530.5812
Hind. Unilever	-8169.536048	348.5306732	-7658358.77	-1.332762545	-112274.0049	104.4895184	-831536.5729	36.3764389	-83.84537863	-349288.3162
ITC	-8191.385959	349.1609878	-7675082.708	-1.337991837	-112516.2358	104.6578694	-833338.004	36.42054694	-84.06120816	-350046.0511
Larsen & Toubro	-8213.23587	349.7913023	-7691806.646	-1.343221128	-112758.4667	104.8262204	-835139.435	36.46465498	-84.2770377	-350803.786
Bajaj Finance	-8235.085782	350.4216168	-7708530.583	-1.34845042	-113000.6977	104.9945714	-836940.8661	36.50876303	-84.49286723	-351561.5209
Maruti Suzuki	-8256.935693	351.0519313	-7725254.521	-1.353679712	-113242.9286	105.1629224	-838742.2971	36.55287107	-84.70869676	-352319.2558
HCL Technologies	-8278.785604	351.6822459	-7741978.459	-1.358909004	-113485.1596	105.3312735	-840543.7282	36.59697911	-84.92452629	-353076.9907
Adani Enterprises	-8300.635515	352.3125604	-7758702.396	-1.364138295	-113727.3905	105.4996245	-842345.1593	36.64108715	-85.14035582	-353834.7256
Hindustan Aeronautics	-8322.485426	352.9428749	-7775426.334	-1.369367587	-113969.6214	105.6679755	-844146.5903	36.6851952	-85.35618535	-354592.4606
M & M	-8344.335337	353.5731894	-7792150.272	-1.374596879	-114211.8524	105.8363265	-845948.0214	36.72930324	-85.57201489	-355350.1955
Axis Bank	-8366.185248	354.203504	-7808874.209	-1.37982617	-114454.0833	106.0046776	-847749.4524	36.77341128	-85.78784442	-356107.9304
Sun Pharma. Inds.	-8388.03516	354.8338185	-7825598.147	-1.385055462	-114696.3142	106.1730286	-849550.8835	36.81751933	-86.00367395	-356865.6653
Tata Motors	-8409.885071	355.464133	-7842322.085	-1.390284754	-114938.5452	106.3413796	-851352.3146	36.86162737	-86.21950348	-357623.4002
NTPC	-8431.734982	356.0944475	-7859046.022	-1.395514046	-115180.7761	106.5097306	-853153.7456	36.90573541	-86.43533301	-358381.1351
ONGC	-8453.584893	356.7247621	-7875769.96	-1.400743337	-115423.0071	106.6780816	-854955.1767	36.94984346	-86.65116255	-359138.8701
Kotak Mahindra Bank	-8475.434804	357.3550766	-7892493.898	-1.405972629	-115665.238	106.8464327	-856756.6077	36.9939515	-86.86699208	-359896.605
Avenue Supermarts	-8497.284715	357.9853911	-7909217.836	-1.411201921	-115907.4689	107.0147837	-858558.0388	37.03805954	-87.08282161	-360654.3399
UltraTech Cement	-8519.134627	358.6157056	-7925941.773	-1.416431212	-116149.6999	107.1831347	-860359.4698	37.08216759	-87.29865114	-361412.0748
Titan Company	-8540.984538	359.2460202	-7942665.711	-1.421660504	-116391.9308	107.3514857	-862160.9009	37.12627563	-87.51448067	-362169.8097
Adani Ports	-8562.834449	359.8763347	-7959389.649	-1.426889796	-116634.1618	107.5198367	-863962.332	37.17038367	-87.7303102	-362927.5446
Power Grid Corporation	-8584.68436	360.5066492	-7976113.586	-1.432119088	-116876.3927	107.6881878	-865763.763	37.21449172	-87.94613974	-363685.2796
Coal India	-8606.534271	361.1369637	-7992837.524	-1.437348379	-117118.6236	107.8565388	-867565.1941	37.25859976	-88.16196927	-364443.0145
Tata Steel	-8628.384182	361.7672783	-8009561.462	-1.442577671	-117360.8546	108.0248898	-869366.6251	37.3027078	-88.3777988	-365200.7494
JSW Steel	-8650.234094	362.3975928	-8026285.399	-1.447806963	-117603.0855	108.1932408	-871168.0562	37.34681585	-88.59362833	-365958.4843
HDFC Life Insurance	-8672.084005	363.0279073	-8043009.337	-1.453036255	-117845.3164	108.3615918	-872969.4873	37.39092389	-88.80945786	-366716.2192
Tech Mahindra	-8693.933916	363.6582218	-8059733.275	-1.458265546	-118087.5474	108.5299429	-874770.9183	37.43503193	-89.02528739	-367473.9541
SBI Life Insurance	-8715.783827	364.2885364	-8076457.212	-1.463494838	-118329.7783	108.6982939	-876572.3494	37.47913998	-89.24111693	-368231.689
Grasim Industries	-8737.633738	364.9188509	-8093181.15	-1.46872413	-118572.0093	108.8666449	-878373.7804	37.52324802	-89.45694646	-368989.424
Wipro	-8759.483649	365.5491654	-8109905.088	-1.473953421	-118814.2402	109.0349959	-880175.2115	37.56735606	-89.67277599	-369747.1589
Divi's Laboratories	-8781.333561	366.17948	-8126629.025	-1.479182713	-119056.4711	109.2033469	-881976.6425	37.61146411	-89.88860552	-370504.8938
Hero MotoCorp	-8803.183472	366.8097945	-8143352.963	-1.484412005	-119298.7021	109.371698	-883778.0736	37.65557215	-90.10443505	-371262.6287
Cipla	-8825.033383	367.440109	-8160076.901	-1.489641297	-119540.933	109.540049	-885579.5047	37.69968019	-90.32026459	-372020.3636
Britannia Industries	-8846.883294	368.0704235	-8176800.838	-1.494870588	-119783.164	109.7084	-887380.9357	37.74378824	-90.53609412	-372778.0985
Dabur India	-8868.733205	368.7007381	-8193524.776	-1.50009988	-120025.3949	109.876751	-889182.3668	37.78789628	-90.75192365	-373535.8335
Adani Green Energy	-8890.583116	369.3310526	-8210248.714	-1.505329172	-120267.6258	110.045102	-890983.7978	37.83200432	-90.96775318	-374293.5684
SBI Cards & Payment	-8912.433028	369.9613671	-8226972.651	-1.510558463	-120509.8568	110.2134531	-892785.2289	37.87611236	-91.18358271	-375051.3033
Bajaj Finserv	-8934.282939	370.5916816	-8243696.589	-1.515787755	-120752.0877	110.3818041	-894586.66	37.92022041	-91.39941224	-375809.0382
Ambuja Cements	-8956.13285	371.2219962	-8260420.527	-1.521017047	-120994.3186	110.5501551	-896388.091	37.96432845	-91.61524178	-376566.7731
Dr. Reddy's Lab	-8977.982761	371.8523107	-8277144.464	-1.526246339	-121236.5496	110.7185061	-898189.5221	38.00843649	-91.83107131	-377324.508
Vedanta	-8999.832672	372.4826252	-8293868.402	-1.53147563	-121478.7805	110.8868571	-899990.9531	38.05254454	-92.04690084	-378082.243
Apollo Hospitals	-9021.682583	373.1129397	-8310592.34	-1.536704922	-121721.0115	111.0552082	-901792.3842	38.09665258	-92.26273037	-378839.9779
Bank of Baroda	-9043.532495	373.7432543	-8327316.277	-1.541934214	-121963.2424	111.2235592	-903593.8152	38.14076062	-92.4785599	-379597.7128
Eicher Motors	-9065.382406	374.3735688	-8344040.215	-1.547163505	-122205.4733	111.3919102	-905395.2463	38.18486867	-92.69438944	-380355.4477
Name	CMP	P/E	Market Cap	Div Yield %	NP Qtr	Qtr Profit %	Sales Qtr	Qtr Sales %	ROCE %	PAT Ann
Reliance Industries	-9087.232317	375.0038833	-8360764.153	-1.552392797	-122447.7043	111.5602612	-907196.6774	38.22897671	-92.91021897	-381113.1826
TCS	-9109.082228	375.6341978	-8377488.09	-1.557622089	-122689.9352	111.7286122	-908998.1084	38.27308475	-93.1260485	-381870.9175
HDFC Bank	-9130.932139	376.2645124	-8394212.028	-1.562851381	-122932.1662	111.8969633	-910799.5395	38.3171928	-93.34187803	-382628.6524
Bharti Airtel	-9152.78205	376.8948269	-8410935.966	-1.568080672	-123174.3971	112.0653143	-912600.9705	38.36130084	-93.55770756	-383386.3874
ICICI Bank	-9174.631962	377.5251414	-8427659.903	-1.573309964	-123416.628	112.2336653	-914402.4016	38.40540888	-93.77353709	-384144.1223
St Bk of India	-9196.481873	378.1554559	-8444383.841	-1.578539256	-123658.859	112.4020163	-916203.8327	38.44951693	-93.98936663	-384901.8572
Life Insurance	-9218.331784	378.7857705	-8461107.779	-1.583768547	-123901.0899	112.5703673	-918005.2637	38.49362497	-94.20519616	-385659.5921
Infosys	-9240.181695	379.416085	-8477831.716	-1.588997839	-124143.3208	112.7387184	-919806.6948	38.53773301	-94.42102569	-386417.327
Hind. Unilever	-9262.031606	380.0463995	-8494555.654	-1.594227131	-124385.5518	112.9070694	-921608.1258	38.58184106	-94.63685522	-387175.0619
ITC	-9283.881517	380.676714	-8511279.592	-1.599456423	-124627.7827	113.0754204	-923409.5569	38.6259491	-94.85268475	-387932.7969
Larsen & Toubro	-9305.731429	381.3070286	-8528003.529	-1.604685714	-124870.0137	113.2437714	-925210.9879	38.67005714	-95.06851429	-388690.5318
Bajaj Finance	-9327.58134	381.9373431	-8544727.467	-1.609915006	-125112.2446	113.4121224	-927012.419	38.71416519	-95.28434382	-389448.2667
Maruti Suzuki	-9349.431251	382.5676576	-8561451.405	-1.615144298	-125354.4755	113.5804735	-928813.8501	38.75827323	-95.50017335	-390206.0016
HCL Technologies	-9371.281162	383.1979721	-8578175.342	-1.620373589	-125596.7065	113.7488245	-930615.2811	38.80238127	-95.71600288	-390963.7365
Adani Enterprises	-9393.131073	383.8282867	-8594899.28	-1.625602881	-125838.9374	113.9171755	-932416.7122	38.84648932	-95.93183241	-391721.4714
Hindustan Aeronautics	-9414.980984	384.4586012	-8611623.218	-1.630832173	-126081.1683	114.0855265	-934218.1432	38.89059736	-96.14766194	-392479.2064
M & M	-9436.830896	385.0889157	-8628347.155	-1.636061465	-126323.3993	114.2538776	-936019.5743	38.9347054	-96.36349148	-393236.9413
Axis Bank	-9458.680807	385.7192303	-8645071.093	-1.641290756	-126565.6302	114.4222286	-937821.0054	38.97881345	-96.57932101	-393994.6762
Sun Pharma. Inds.	-9480.530718	386.3495448	-8661795.031	-1.646520048	-126807.8612	114.5905796	-939622.4364	39.02292149	-96.79515054	-394752.4111
Tata Motors	-9502.380629	386.9798593	-8678518.968	-1.65174934	-127050.0921	114.7589306	-941423.8675	39.06702953	-97.01098007	-395510.146
NTPC	-9524.23054	387.6101738	-8695242.906	-1.656978631	-127292.323	114.9272816	-943225.2985	39.11113758	-97.2268096	-396267.8809
ONGC	-9546.080451	388.2404884	-8711966.844	-1.662207923	-127534.554	115.0956327	-945026.7296	39.15524562	-97.44263914	-397025.6158
Kotak Mahindra Bank	-9567.930363	388.8708029	-8728690.781	-1.667437215	-127776.7849	115.2639837	-946828.1606	39.19935366	-97.65846867	-397783.3508
Avenue Supermarts	-9589.780274	389.5011174	-8745414.719	-1.672666507	-128019.0159	115.4323347	-948629.5917	39.2434617	-97.8742982	-398541.0857
UltraTech Cement	-9611.630185	390.1314319	-8762138.657	-1.677895798	-128261.2468	115.6006857	-950431.0228	39.28756975	-98.09012773	-399298.8206
Titan Company	-9633.480096	390.7617465	-8778862.594	-1.68312509	-128503.4777	115.7690367	-952232.4538	39.33167779	-98.30595726	-400056.5555
Adani Ports	-9655.330007	391.392061	-8795586.532	-1.688354382	-128745.7087	115.9373878	-954033.8849	39.37578583	-98.52178679	-400814.2904
Power Grid Corporation	-9677.179918	392.0223755	-8812310.47	-1.693583673	-128987.9396	116.1057388	-955835.3159	39.41989388	-98.73761633	-401572.0253
Coal India	-9699.02983	392.65269	-8829034.407	-1.698812965	-129230.1705	116.2740898	-957636.747	39.46400192	-98.95344586	-402329.7603
Tata Steel	-9720.879741	393.2830046	-8845758.345	-1.704042257	-129472.4015	116.4424408	-959438.1781	39.50810996	-99.16927539	-403087.4952
JSW Steel	-9742.729652	393.9133191	-8862482.283	-1.709271549	-129714.6324	116.6107918	-961239.6091	39.55221801	-99.38510492	-403845.2301
HDFC Life Insurance	-9764.579563	394.5436336	-8879206.22	-1.71450084	-129956.8634	116.7791429	-963041.0402	39.59632605	-99.60093445	-404602.965
Tech Mahindra	-9786.429474	395.1739481	-8895930.158	-1.719730132	-130199.0943	116.9474939	-964842.4712	39.64043409	-99.81676399	-405360.6999
SBI Life Insurance	-9808.279385	395.8042627	-8912654.096	-1.724959424	-130441.3252	117.1158449	-966643.9023	39.68454214	-100.0325935	-406118.4348
Grasim Industries	-9830.129297	396.4345772	-8929378.034	-1.730188715	-130683.5562	117.2841959	-968445.3333	39.72865018	-100.248423	-406876.1697
Wipro	-9851.979208	397.0648917	-8946101.971	-1.735418007	-130925.7871	117.4525469	-970246.7644	39.77275822	-100.4642526	-407633.9047
Divi's Laboratories	-9873.829119	397.6952062	-8962825.909	-1.740647299	-131168.0181	117.620898	-972048.1955	39.81686627	-100.6800821	-408391.6396
Hero MotoCorp	-9895.67903	398.3255208	-8979549.847	-1.745876591	-131410.249	117.789249	-973849.6265	39.86097431	-100.8959116	-409149.3745
Cipla	-9917.528941	398.9558353	-8996273.784	-1.751105882	-131652.4799	117.9576	-975651.0576	39.90508235	-101.1117412	-409907.1094
Britannia Industries	-9939.378852	399.5861498	-9012997.722	-1.756335174	-131894.7109	118.125951	-977452.4886	39.9491904	-101.3275707	-410664.8443
Dabur India	-9961.228764	400.2164643	-9029721.66	-1.761564466	-132136.9418	118.294302	-979253.9197	39.99329844	-101.5434002	-411422.5792
Adani Green Energy	-9983.078675	400.8467789	-9046445.597	-1.766793758	-132379.1727	118.4626531	-981055.3508	40.03740648	-101.7592298	-412180.3142
SBI Cards & Payment	-10004.92859	401.4770934	-9063169.535	-1.772023049	-132621.4037	118.6310041	-982856.7818	40.08151453	-101.9750593	-412938.0491
Bajaj Finserv	-10026.7785	402.1074079	-9079893.473	-1.777252341	-132863.6346	118.7993551	-984658.2129	40.12562257	-102.1908888	-413695.784
Ambuja Cements	-10048.62841	402.7377224	-9096617.41	-1.782481633	-133105.8656	118.9677061	-986459.6439	40.16973061	-102.4067184	-414453.5189
Dr. Reddy's Lab	-10070.47832	403.368037	-9113341.348	-1.787710924	-133348.0965	119.1360571	-988261.075	40.21383866	-102.6225479	-415211.2538
Vedanta	-10092.32823	403.9983515	-9130065.286	-1.792940216	-133590.3274	119.3044082	-990062.506	40.2579467	-102.8383774	-415968.9887
Apollo Hospitals	-10114.17814	404.628666	-9146789.223	-1.798169508	-133832.5584	119.4727592	-991863.9371	40.30205474	-103.054207	-416726.7237
Bank of Baroda	-10136.02805	405.2589806	-9163513.161	-1.8033988	-134074.7893	119.6411102	-993665.3682	40.34616279	-103.2700365	-417484.4586
Eicher Motors	-10157.87796	405.8892951	-9180237.099	-1.808628091	-134317.0203	119.8094612	-995466.7992	40.39027083	-103.485866	-418242.1935
Name	CMP	P/E	Market Cap	Div Yield %	NP Qtr	Qtr Profit %	Sales Qtr	Qtr Sales %	ROCE %	PAT Ann
Reliance Industries	-10179.72788	406.5196096	-9196961.036	-1.813857383	-134559.2512	119.9778122	-997268.2303	40.43437887	-103.7016956	-418999.9284
